,vestigingscode,instellingscode,instellingsnaam,vestigingsgemeente,jaar,opleidingsvorm,soort_ho,type_ho,herkomst,status,ingeschrevenen_HO,instroom_RR,instroom_HO,tweedejaars_HO,hogerejaars_HO,instroom_THO_NW,tweedejaars_THO_NW,hogerejaars_THO_NW,provincie
7130,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2030,voltijd,wo,ma,NL,prognose,52.493,19.437,0.249192307692308,1.2566989010989,50.9871087912088,12.958,10.7618320693391,28.7731679306609,Noord-Holland
7131,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2031,voltijd,wo,ma,NL,prognose,52.106,19.449,0.249346153846154,1.25134945054945,50.6053043956044,12.966,10.6945639219935,28.4454360780065,Noord-Holland
7132,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2032,voltijd,wo,ma,NL,prognose,51.865,19.46,0.249487179487179,1.24777435897436,50.3677384615385,12.9733333333333,10.6490933550018,28.2425733116649,Noord-Holland
7133,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2033,voltijd,wo,ma,NL,prognose,51.699,19.436,0.249179487179487,1.24630183150183,50.2035186813187,12.9573333333333,10.6360099313832,28.1056567352835,Noord-Holland
7134,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2034,voltijd,wo,ma,NL,prognose,51.461,19.33,0.247820512820513,1.23972673992674,49.9734527472527,12.8866666666667,10.580884434814,27.9934488985193,Noord-Holland
7135,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2035,voltijd,wo,ma,NL,prognose,51.259,19.253,0.246833333333333,1.23320952380952,49.7789571428571,12.8353333333333,10.5204671361502,27.9031995305164,Noord-Holland
7136,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2036,voltijd,wo,ma,NL,prognose,51.095,19.198,0.246128205128205,1.22922783882784,49.619643956044,12.7986666666667,10.4849749006862,27.8113584326472,Noord-Holland
7137,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2037,voltijd,wo,ma,NL,prognose,50.985,19.217,0.246371794871795,1.22757216117216,49.511056043956,12.8113333333333,10.4609476345251,27.7127190321416,Noord-Holland
7138,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2038,voltijd,wo,ma,NL,prognose,50.942,19.235,0.246602564102564,1.22914798534799,49.4662494505494,12.8233333333333,10.4750418923799,27.6436247742867,Noord-Holland
7139,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2025,deeltijd,wo,ma,EER,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
7140,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2026,deeltijd,wo,ma,EER,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
7141,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2027,deeltijd,wo,ma,EER,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
7142,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2028,deeltijd,wo,ma,EER,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
7143,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2029,deeltijd,wo,ma,EER,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
7144,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2030,deeltijd,wo,ma,EER,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
7145,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2031,deeltijd,wo,ma,EER,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
7146,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2032,deeltijd,wo,ma,EER,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
7147,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2033,deeltijd,wo,ma,EER,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
7148,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2034,deeltijd,wo,ma,EER,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
7149,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2035,deeltijd,wo,ma,EER,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
7150,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2036,deeltijd,wo,ma,EER,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
7151,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2037,deeltijd,wo,ma,EER,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
7152,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2038,deeltijd,wo,ma,EER,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
7153,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2025,deeltijd,wo,ma,NL,prognose,1.262,0.0,0.0,0.0,1.262,0.0,0.0,1.262,Groningen
7154,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2026,deeltijd,wo,ma,NL,prognose,1.219,0.0,0.0,0.0,1.219,0.0,0.0,1.219,Groningen
