,vestigingscode,instellingscode,instellingsnaam,vestigingsgemeente,jaar,opleidingsvorm,soort_ho,type_ho,herkomst,status,ingeschrevenen_HO,instroom_RR,instroom_HO,tweedejaars_HO,hogerejaars_HO,instroom_THO_NW,tweedejaars_THO_NW,hogerejaars_THO_NW,provincie
61,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2019,voltijd,wo,ma,niet-EER,realisatie,12.0,12.0,12.0,0.0,0.0,12.0,0.0,0.0,Groningen
62,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2020,voltijd,wo,ma,niet-EER,realisatie,11.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,Groningen
63,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2021,voltijd,wo,ma,niet-EER,realisatie,14.0,12.0,10.0,0.0,0.0,10.0,0.0,0.0,Groningen
64,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2022,voltijd,wo,ma,niet-EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
65,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2023,voltijd,wo,ma,niet-EER,realisatie,9.0,7.0,6.0,0.0,0.0,6.0,0.0,0.0,Groningen
66,00IC00,00IC,Hogeschool KPZ,Zwolle,2021,deeltijd,hbo,ad,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
67,00IC00,00IC,Hogeschool KPZ,Zwolle,2017,deeltijd,hbo,ad,NL,realisatie,140.0,86.0,54.0,49.0,37.0,84.0,56.0,0.0,
68,00IC00,00IC,Hogeschool KPZ,Zwolle,2018,deeltijd,hbo,ad,NL,realisatie,158.0,94.0,58.0,48.0,52.0,94.0,48.0,16.0,
69,00IC00,00IC,Hogeschool KPZ,Zwolle,2019,deeltijd,hbo,ad,NL,realisatie,184.0,95.0,60.0,57.0,67.0,95.0,67.0,22.0,
70,00IC00,00IC,Hogeschool KPZ,Zwolle,2020,deeltijd,hbo,ad,NL,realisatie,205.0,98.0,63.0,59.0,83.0,97.0,71.0,37.0,
71,00IC00,00IC,Hogeschool KPZ,Zwolle,2021,deeltijd,hbo,ad,NL,realisatie,172.0,71.0,46.0,54.0,72.0,71.0,66.0,35.0,
72,00IC00,00IC,Hogeschool KPZ,Zwolle,2022,deeltijd,hbo,ad,NL,realisatie,129.0,48.0,32.0,38.0,59.0,45.0,56.0,28.0,
73,00IC00,00IC,Hogeschool KPZ,Zwolle,2023,deeltijd,hbo,ad,NL,realisatie,134.0,80.0,46.0,39.0,49.0,77.0,32.0,25.0,
74,00IC00,00IC,Hogeschool KPZ,Zwolle,2024,deeltijd,hbo,ad,NL,realisatie,150.0,73.0,45.0,49.0,56.0,72.0,58.0,20.0,
75,00IC00,00IC,Hogeschool KPZ,Zwolle,2017,deeltijd,hbo,ad,niet-EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
76,00IC00,00IC,Hogeschool KPZ,Zwolle,2018,deeltijd,hbo,ad,niet-EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
77,00IC00,00IC,Hogeschool KPZ,Zwolle,2022,deeltijd,hbo,ad,niet-EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
78,00IC00,00IC,Hogeschool KPZ,Zwolle,2017,deeltijd,hbo,ba,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
79,00IC00,00IC,Hogeschool KPZ,Zwolle,2022,deeltijd,hbo,ba,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
80,00IC00,00IC,Hogeschool KPZ,Zwolle,2023,deeltijd,hbo,ba,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
81,00IC00,00IC,Hogeschool KPZ,Zwolle,2024,deeltijd,hbo,ba,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
82,00IC00,00IC,Hogeschool KPZ,Zwolle,2017,deeltijd,hbo,ba,NL,realisatie,136.0,59.0,10.0,16.0,110.0,18.0,19.0,99.0,
83,00IC00,00IC,Hogeschool KPZ,Zwolle,2018,deeltijd,hbo,ba,NL,realisatie,173.0,90.0,17.0,12.0,144.0,27.0,20.0,126.0,
84,00IC00,00IC,Hogeschool KPZ,Zwolle,2019,deeltijd,hbo,ba,NL,realisatie,224.0,107.0,39.0,24.0,161.0,47.0,29.0,148.0,
85,00IC00,00IC,Hogeschool KPZ,Zwolle,2020,deeltijd,hbo,ba,NL,realisatie,240.0,97.0,23.0,30.0,187.0,33.0,37.0,170.0,
86,00IC00,00IC,Hogeschool KPZ,Zwolle,2021,deeltijd,hbo,ba,NL,realisatie,215.0,51.0,7.0,23.0,185.0,14.0,30.0,171.0,
87,00IC00,00IC,Hogeschool KPZ,Zwolle,2022,deeltijd,hbo,ba,NL,realisatie,192.0,46.0,11.0,0.0,176.0,20.0,12.0,160.0,
88,00IC00,00IC,Hogeschool KPZ,Zwolle,2023,deeltijd,hbo,ba,NL,realisatie,174.0,57.0,18.0,10.0,146.0,24.0,19.0,131.0,
89,00IC00,00IC,Hogeschool KPZ,Zwolle,2024,deeltijd,hbo,ba,NL,realisatie,153.0,41.0,9.0,11.0,133.0,16.0,16.0,121.0,
90,00IC00,00IC,Hogeschool KPZ,Zwolle,2017,deeltijd,hbo,ba,niet-EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
91,00IC00,00IC,Hogeschool KPZ,Zwolle,2018,deeltijd,hbo,ba,niet-EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
92,00IC00,00IC,Hogeschool KPZ,Zwolle,2019,deeltijd,hbo,ba,niet-EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
93,00IC00,00IC,Hogeschool KPZ,Zwolle,2024,deeltijd,hbo,ba,niet-EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
94,00IC00,00IC,Hogeschool KPZ,Zwolle,2019,voltijd,hbo,ba,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
95,00IC00,00IC,Hogeschool KPZ,Zwolle,2020,voltijd,hbo,ba,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
96,00IC00,00IC,Hogeschool KPZ,Zwolle,2021,voltijd,hbo,ba,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
97,00IC00,00IC,Hogeschool KPZ,Zwolle,2022,voltijd,hbo,ba,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
98,00IC00,00IC,Hogeschool KPZ,Zwolle,2023,voltijd,hbo,ba,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
99,00IC00,00IC,Hogeschool KPZ,Zwolle,2024,voltijd,hbo,ba,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
100,00IC00,00IC,Hogeschool KPZ,Zwolle,2017,voltijd,hbo,ba,NL,realisatie,558.0,171.0,163.0,106.0,289.0,164.0,107.0,287.0,
101,00IC00,00IC,Hogeschool KPZ,Zwolle,2018,voltijd,hbo,ba,NL,realisatie,526.0,141.0,134.0,115.0,277.0,135.0,114.0,277.0,
102,00IC00,00IC,Hogeschool KPZ,Zwolle,2019,voltijd,hbo,ba,NL,realisatie,531.0,155.0,144.0,100.0,287.0,145.0,101.0,285.0,
103,00IC00,00IC,Hogeschool KPZ,Zwolle,2020,voltijd,hbo,ba,NL,realisatie,543.0,163.0,158.0,122.0,263.0,159.0,122.0,262.0,
104,00IC00,00IC,Hogeschool KPZ,Zwolle,2021,voltijd,hbo,ba,NL,realisatie,531.0,144.0,140.0,125.0,266.0,142.0,124.0,265.0,
105,00IC00,00IC,Hogeschool KPZ,Zwolle,2022,voltijd,hbo,ba,NL,realisatie,505.0,117.0,108.0,129.0,268.0,110.0,127.0,268.0,
106,00IC00,00IC,Hogeschool KPZ,Zwolle,2023,voltijd,hbo,ba,NL,realisatie,473.0,124.0,116.0,77.0,280.0,117.0,78.0,278.0,
107,00IC00,00IC,Hogeschool KPZ,Zwolle,2024,voltijd,hbo,ba,NL,realisatie,468.0,118.0,114.0,96.0,258.0,114.0,97.0,257.0,
108,00IC00,00IC,Hogeschool KPZ,Zwolle,2020,voltijd,hbo,ba,niet-EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
109,00MF00,00MF,Hogeschool voor de Kunsten Utrecht,Utrecht,2017,deeltijd,hbo,ba,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Utrecht
110,00MF00,00MF,Hogeschool voor de Kunsten Utrecht,Utrecht,2019,deeltijd,hbo,ba,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Utrecht
111,00MF00,00MF,Hogeschool voor de Kunsten Utrecht,Utrecht,2020,deeltijd,hbo,ba,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Utrecht
112,00MF00,00MF,Hogeschool voor de Kunsten Utrecht,Utrecht,2021,deeltijd,hbo,ba,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Utrecht
113,00MF00,00MF,Hogeschool voor de Kunsten Utrecht,Utrecht,2022,deeltijd,hbo,ba,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Utrecht
114,00MF00,00MF,Hogeschool voor de Kunsten Utrecht,Utrecht,2024,deeltijd,hbo,ba,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Utrecht
115,00MF00,00MF,Hogeschool voor de Kunsten Utrecht,Utrecht,2017,deeltijd,hbo,ba,NL,realisatie,53.0,26.0,0.0,0.0,53.0,0.0,0.0,52.0,Utrecht
116,00MF00,00MF,Hogeschool voor de Kunsten Utrecht,Utrecht,2018,deeltijd,hbo,ba,NL,realisatie,45.0,22.0,0.0,0.0,44.0,0.0,0.0,44.0,Utrecht
117,00MF00,00MF,Hogeschool voor de Kunsten Utrecht,Utrecht,2019,deeltijd,hbo,ba,NL,realisatie,38.0,18.0,0.0,0.0,37.0,0.0,0.0,37.0,Utrecht
118,00MF00,00MF,Hogeschool voor de Kunsten Utrecht,Utrecht,2020,deeltijd,hbo,ba,NL,realisatie,57.0,37.0,0.0,0.0,54.0,0.0,0.0,52.0,Utrecht
119,00MF00,00MF,Hogeschool voor de Kunsten Utrecht,Utrecht,2021,deeltijd,hbo,ba,NL,realisatie,69.0,31.0,0.0,0.0,62.0,9.0,0.0,56.0,Utrecht
120,00MF00,00MF,Hogeschool voor de Kunsten Utrecht,Utrecht,2022,deeltijd,hbo,ba,NL,realisatie,49.0,23.0,0.0,6.0,41.0,0.0,8.0,38.0,Utrecht
121,00MF00,00MF,Hogeschool voor de Kunsten Utrecht,Utrecht,2023,deeltijd,hbo,ba,NL,realisatie,55.0,32.0,0.0,0.0,51.0,0.0,0.0,49.0,Utrecht
122,00MF00,00MF,Hogeschool voor de Kunsten Utrecht,Utrecht,2024,deeltijd,hbo,ba,NL,realisatie,72.0,42.0,0.0,0.0,67.0,0.0,0.0,64.0,Utrecht
123,00MF00,00MF,Hogeschool voor de Kunsten Utrecht,Utrecht,2018,deeltijd,hbo,ba,niet-EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Utrecht
124,00MF00,00MF,Hogeschool voor de Kunsten Utrecht,Utrecht,2019,deeltijd,hbo,ba,niet-EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Utrecht
125,00MF00,00MF,Hogeschool voor de Kunsten Utrecht,Utrecht,2021,deeltijd,hbo,ba,niet-EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Utrecht
126,00MF00,00MF,Hogeschool voor de Kunsten Utrecht,Utrecht,2022,deeltijd,hbo,ba,niet-EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Utrecht
127,00MF00,00MF,Hogeschool voor de Kunsten Utrecht,Utrecht,2023,deeltijd,hbo,ba,niet-EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Utrecht
128,00MF00,00MF,Hogeschool voor de Kunsten Utrecht,Utrecht,2024,deeltijd,hbo,ba,niet-EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Utrecht
129,00MF00,00MF,Hogeschool voor de Kunsten Utrecht,Utrecht,2017,deeltijd,hbo,ma,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Utrecht
130,00MF00,00MF,Hogeschool voor de Kunsten Utrecht,Utrecht,2018,deeltijd,hbo,ma,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Utrecht
131,00MF00,00MF,Hogeschool voor de Kunsten Utrecht,Utrecht,2020,deeltijd,hbo,ma,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Utrecht
